Uttar Pradesh,Sitapur,71,Rampurmathura,16,Purbian Purwa Village : Dhamaura,504,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Ramesh Purwa Village : Sonarakhi,526,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Roop Purwa Village : Afsarya Husainpur,542,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Ramasrey Purwa Village : Ataura,523,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Rambhajan Purwa Village : Bagasti,524,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Ramnath Purwa Village : Shukulauporwa,529,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Rupan Dhari Purwa Village : Rampur,544,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Semra Village : Goahdih,565,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Seekri Purwa Village : Angaraura,562,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Sardar Jhala Village : Tulsipur kharika,559,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Shyamsunder Purwa Village : Bagasti,584,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Sunder Nagar Village : Ataura,600,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Tewari Purwa Village : Sirkunda,616,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Tapri Village : Jairampur,612,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Takiya Village : Gauria,603,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Reosa,17,Ahiranpurwa Village : Man Pur,4,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Reosa,17,Ahiranpurwa Village : Man Pur,5,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Reosa,17,Badhiyankuti Village : Shankar Pur Chisni,22,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Reosa,17,ASHARAM PURWA Village : GOLOK KODAR,14,ValueError,No tables found
